locus_1	ilvI
locus_2	lysC
locus_3	anr
locus_4	atpA
locus_5	cdrA
locus_6	wspR
locus_7	nirS
locus_8	norB
locus_9	nosZ
locus_10	mexI
locus_11	ampC
locus_12	amrB
locus_13	mexB
locus_14	mexF
locus_15	TriC
locus_16	algD
locus_17	pelA
locus_18	fadB
locus_19	ackA
locus_20	arcA
locus_21	ldhA
locus_22	pilA
locus_23	fliC
locus_24	clpX
locus_25	ftsH
locus_26	htpX
locus_27	lon
locus_28	napA
locus_29	dnr
locus_30	narG
locus_31	pyrG
locus_32	truB
locus_33	ahpF
locus_34	gshB
locus_35	katA
locus_36	katB
locus_37	OxyR
locus_38	sodM
locus_39	sodB
locus_40	PA14_48930
locus_41	gpD
locus_42	lasI
locus_43	lasR
locus_44	mvfR
locus_45	pqsC
locus_46	pqsH
locus_47	rhlI
locus_48	rhlR
locus_49	fnr_2
locus_50	dnaA
locus_51	rpsC
locus_52	suhB
locus_53	rne
locus_54	pnp
locus_55	rho
locus_56	rpoA
locus_57	pchF
locus_58	phzE1
locus_59	phzM
locus_60	pvdF
locus_61	fliA
locus_62	rpoH
locus_63	rpoD
locus_64	rpoN
locus_65	sigX
locus_66	rpoS
locus_67	recA
locus_68	relA
locus_69	impC
locus_70	vgrG
locus_71	aceA
locus_72	kgtP
locus_73	sucC
locus_74	ccoN1
locus_75	ccoN2
locus_76	ccoN4
locus_77	ccoN3
locus_78	coxA
locus_79	cysA
locus_80	gltB
locus_81	pstS
locus_82	ptsP
locus_83	rbsA
locus_84	spuD
locus_85	uspA
locus_86	uspM
locus_87	aprA
locus_88	exoT
locus_89	exoY
locus_90	hcnC
locus_91	lasA
locus_92	pcrD
locus_93	pscC
locus_94	rhlA
locus_95	vfr
locus_96	lasB
